Text,PPM Entropy
train_batch_1.txt,2.8981450149999715
train_batch_2.txt,2.9337722400000006
train_batch_3.txt,2.8526512569999998
train_batch_4.txt,2.8640568930000394
train_batch_5.txt,2.8119772770000133
train_batch_6.txt,2.8979044879999964
train_batch_7.txt,2.9109153020000336
train_batch_8.txt,2.8251074819999933
train_batch_9.txt,2.8515662769999874
train_batch_10.txt,2.8647558950000134
train_batch_11.txt,2.8582182200000323
train_batch_12.txt,2.863851416000009
train_batch_13.txt,2.9513426519999992
train_batch_14.txt,2.9479743249999832
train_batch_15.txt,2.9053176790000035
train_batch_16.txt,2.813652684999998
train_batch_17.txt,2.8993910019999514
train_batch_18.txt,2.860275573999999
train_batch_19.txt,2.9136316489999503
train_batch_20.txt,2.9612784899999585
train_batch_21.txt,2.8097301329999564
train_batch_22.txt,2.8673741890000306
train_batch_23.txt,2.920172025000016
train_batch_24.txt,2.892362496000051
train_batch_25.txt,2.855948408999993
train_batch_26.txt,2.930341847
train_batch_27.txt,2.872792987999942
train_batch_28.txt,2.8736807019999544
train_batch_29.txt,2.8068569519999595
train_batch_30.txt,2.8097926110000495
train_batch_31.txt,2.8755653510000463
train_batch_32.txt,2.825037260999977
train_batch_33.txt,4.000231024930746
train_batch_34.txt,2.8026605539999916
train_batch_35.txt,2.8712425299999733
train_batch_36.txt,2.7936717859999467
train_batch_37.txt,2.8446731680000092
train_batch_38.txt,2.9154496840000212
train_batch_39.txt,2.8771897919999843
train_batch_40.txt,2.824278728999979
train_batch_41.txt,2.8014703679999977
train_batch_42.txt,2.925608332999963
train_batch_43.txt,2.8792820150000233
train_batch_44.txt,2.8818391009999975
